!MOLECULE
HCl
!MOLECULAR WEIGHT
56.5
!NUMBER OF ENERGY LEVELS
8
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1         0.0000       1.0     0
    2        20.8783       3.0     1
    3        62.6222       5.0     2
    4       125.2063       7.0     3
    5       208.5927       9.0     4
    6       312.7311      11.0     5
    7       437.5580      13.0     6
    8       582.9980      15.0     7
!NUMBER OF RADIATIVE TRANSITIONS
7
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1    1.169e-03       624.9750      30.0
    2     3     2    1.122e-02      1249.5714      90.1
    3     4     3    4.052e-02      1873.4101     180.1
    4     5     4    9.939e-02      2496.1153     300.1
    5     6     5    1.980e-01      3117.3087     449.9
    6     7     6    3.462e-01      3736.6157     629.5
    7     8     7    5.537e-01      4353.6629     838.8
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 HCl-H2 scaled (*1.38) HCl-He from Neufeld & Green (1994)
!NUMBER OF COLL TRANS
28
!NUMBER OF COLL TEMPS
8
!COLL TEMPS
   10.0   20.0   30.0   50.0   80.0  100.0  200.0  300.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  4.6e-12 5.8e-12 7.0e-12 9.5e-12 1.3e-11 1.5e-11 2.1e-11 2.5e-11
    2     3     1  1.3e-12 1.4e-12 1.7e-12 2.4e-12 3.9e-12 5.1e-12 1.1e-11 1.7e-11
    3     3     2  2.4e-11 2.6e-11 2.7e-11 2.9e-11 3.3e-11 3.5e-11 4.3e-11 4.7e-11
    4     4     1  2.6e-12 2.9e-12 3.1e-12 3.5e-12 4.0e-12 4.3e-12 5.1e-12 5.5e-12
    5     4     2  4.9e-12 5.3e-12 5.8e-12 7.0e-12 9.4e-12 1.1e-11 2.1e-11 2.9e-11
    6     4     3  2.7e-11 2.9e-11 3.0e-11 3.3e-11 3.7e-11 4.0e-11 5.1e-11 5.9e-11
    7     5     1  1.2e-12 1.1e-12 1.2e-12 1.4e-12 1.8e-12 2.1e-12 3.5e-12 4.5e-12
    8     5     2  2.2e-12 2.0e-12 2.1e-12 2.5e-12 3.3e-12 3.9e-12 6.6e-12 9.2e-12
    9     5     3  6.9e-12 6.1e-12 6.2e-12 7.3e-12 9.6e-12 1.1e-11 2.0e-11 2.9e-11
   10     5     4  4.1e-11 3.5e-11 3.4e-11 3.6e-11 4.1e-11 4.4e-11 5.6e-11 6.4e-11
   11     6     1  2.2e-13 2.2e-13 2.5e-13 3.4e-13 5.5e-13 7.1e-13 1.7e-12 2.6e-12
   12     6     2  9.2e-13 8.9e-13 9.6e-13 1.3e-12 1.8e-12 2.2e-12 4.2e-12 5.9e-12
   13     6     3  1.0e-12 9.8e-13 1.1e-12 1.4e-12 2.0e-12 2.4e-12 4.5e-12 6.6e-12
   14     6     4  5.5e-12 5.2e-12 5.5e-12 6.8e-12 9.3e-12 1.1e-11 2.0e-11 2.8e-11
   15     6     5  3.2e-11 3.0e-11 3.0e-11 3.4e-11 4.0e-11 4.4e-11 6.0e-11 6.9e-11
   16     7     1  6.5e-15 1.6e-14 2.3e-14 3.9e-14 7.2e-14 1.0e-13 3.2e-13 6.1e-13
   17     7     2  6.4e-14 1.6e-13 2.3e-13 3.7e-13 6.2e-13 8.2e-13 2.0e-12 3.1e-12
   18     7     3  1.7e-13 4.2e-13 5.9e-13 9.1e-13 1.4e-12 1.8e-12 3.7e-12 5.5e-12
   19     7     4  2.0e-13 4.8e-13 6.6e-13 1.0e-12 1.5e-12 1.9e-12 3.8e-12 5.6e-12
   20     7     5  1.2e-12 2.9e-12 4.0e-12 5.8e-12 8.5e-12 1.0e-11 1.9e-11 2.7e-11
   21     7     6  6.7e-12 1.6e-11 2.1e-11 2.9e-11 3.8e-11 4.3e-11 6.1e-11 7.3e-11
   22     8     1  5.0e-15 9.2e-15 1.2e-14 1.9e-14 3.3e-14 4.5e-14 1.2e-13 1.9e-13
   23     8     2  2.1e-14 3.8e-14 5.1e-14 8.0e-14 1.4e-13 2.0e-13 5.7e-13 9.4e-13
   24     8     3  8.1e-14 1.5e-13 2.0e-13 3.0e-13 5.0e-13 6.6e-13 1.6e-12 2.6e-12
   25     8     4  1.9e-13 3.4e-13 4.4e-13 6.5e-13 1.0e-12 1.3e-12 2.8e-12 4.2e-12
   26     8     5  2.9e-13 5.2e-13 6.8e-13 9.6e-13 1.4e-12 1.8e-12 3.7e-12 5.3e-12
   27     8     6  1.7e-12 3.0e-12 3.9e-12 5.3e-12 7.7e-12 9.4e-12 1.8e-11 2.5e-11
   28     8     7  1.0e-11 1.7e-11 2.1e-11 2.7e-11 3.5e-11 4.0e-11 6.0e-11 7.4e-11
!NOTES:
!Molecular constants from Nolt et al. 1987, J. Mol. Spect. 125, 274
!Dipole moment of 1.109D measured by De Leeuw & Dymanus 1971, 26th Symposium on Molecular
!Spectroscopy, Columbus, Ohio
