!MOLECULE
SiS
!MOLECULAR WEIGHT
60.1
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1        0.0000     1.0     0
    2        0.6056     3.0     1
    3        1.8167     5.0     2
    4        3.6335     7.0     3
    5        6.0557     9.0     4
    6        9.0836    11.0     5
    7       12.7169    13.0     6
    8       16.9557    15.0     7
    9       21.7999    17.0     8
   10       27.2496    19.0     9
   11       33.3046    21.0    10
   12       39.9650    23.0    11
   13       47.2306    25.0    12
   14       55.1014    27.0    13
   15       63.5773    29.0    14
   16       72.6584    31.0    15
   17       82.3444    33.0    16
   18       92.6354    35.0    17
   19      103.5312    37.0    18
   20      115.0318    39.0    19
   21      127.1370    41.0    20
   22      139.8468    43.0    21
   23      153.1611    45.0    22
   24      167.0798    47.0    23
   25      181.6027    49.0    24
   26      196.7297    51.0    25
   27      212.4608    53.0    26
   28      228.7958    55.0    27
   29      245.7345    57.0    28
   30      263.2769    59.0    29
   31      281.4227    61.0    30
   32      300.1719    63.0    31
   33      319.5243    65.0    32
   34      339.4798    67.0    33
   35      360.0381    69.0    34
   36      381.1992    71.0    35
   37      402.9628    73.0    36
   38      425.3288    75.0    37
   39      448.2969    77.0    38
   40      471.8672    79.0    39
   41      496.0392    81.0    40
!NUMBER OF RADIATIVE TRANSITIONS
40
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   6.9495e-08      18.1548810      0.87
    2     3     2   6.6715e-07      36.3096310      2.61
    3     4     3   2.4123e-06      54.4640810      5.23
    4     5     4   5.9298e-06      72.6181035      8.71
    5     6     5   1.1843e-05      90.7715501     13.07
    6     7     6   2.0779e-05     108.9242772     18.30
    7     8     7   3.3367e-05     127.0761410     24.40
    8     9     8   5.0223e-05     145.2269975     31.37
    9    10     9   7.1971e-05     163.3767028     39.21
   10    11    10   9.9247e-05     181.5251131     47.92
   11    12    11   1.3266e-04     199.6720843     57.50
   12    13    12   1.7282e-04     217.8174727     67.95
   13    14    13   2.2038e-04     235.9611344     79.28
   14    15    14   2.7595e-04     254.1029254     91.47
   15    16    15   3.4016e-04     272.2427018    104.54
   16    17    16   4.1361e-04     290.3803198    118.47
   17    18    17   4.9698e-04     308.5156354    133.28
   18    19    18   5.9071e-04     326.6485047    148.96
   19    20    19   6.9564e-04     344.7787840    165.50
   20    21    20   8.1227e-04     362.9063292    182.92
   21    22    21   9.4127e-04     381.0309964    201.21
   22    23    22   1.0833e-03     399.1526418    220.36
   23    24    23   1.2388e-03     417.2711215    240.39
   24    25    24   1.4085e-03     435.3862915    261.28
   25    26    25   1.5928e-03     453.4980080    283.05
   26    27    26   1.7926e-03     471.6061271    305.68
   27    28    27   2.0089e-03     489.7105049    329.18
   28    29    28   2.2410e-03     507.8109974    353.55
   29    30    29   2.4910e-03     525.9074609    378.79
   30    31    30   2.7583e-03     543.9997513    404.90
   31    32    31   3.0447e-03     562.0877248    431.88
   32    33    32   3.3496e-03     580.1712375    459.72
   33    34    33   3.6744e-03     598.2501455    488.43
   34    35    34   4.0190e-03     616.3243049    518.01
   35    36    35   4.3853e-03     634.3935718    548.46
   36    37    36   4.7722e-03     652.4578024    579.77
   37    38    37   5.1819e-03     670.5168526    611.95
   38    39    38   5.6130e-03     688.5705786    644.99
   39    40    39   6.0681e-03     706.6188366    678.91
   40    41    40   6.5471e-03     724.6614825    713.68
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 SiS-H2 adopted SiO-H2 rates
!NUMBER OF COLL TRANS
820
!NUMBER OF COLL TEMPS
11
!COLL TEMPS
   20.0   40.0   70.0  100.0  150.0  200.0  250.0  300.0  500.0 1000.0 2000.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
