! MOLECULE
p-H2O
! MASS
18.
! NUMBER OF ENERGY LEVELS
5
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.  J_K+_K-
  1      0.000000    1.0     0_0_0
  2     37.137122    3.0     1_1_1
  3     70.090805    5.0     2_0_2
  4     95.175930    5.0     2_1_1
  5    136.163914    5.0     2_2_0
! NUMBER OF RADIATIVE TRANSITIONS
5
! TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz)+ E_up(K)
   1    2   1   1.842E-02   1113.34306     53.4
   2    3   2   5.835E-03    987.92670    100.8
   3    5   2   2.607E-01   2968.74895    195.9
   4    4   3   7.062E-03    752.03323    136.9
   5    5   4   1.871E-02   1228.78902    195.9
! NUMBER OF COLLISION PARTNERS
2
! COLLISION PARTNER
2 pH2O - pH2 from Dubernet & Grosjean (2002) and Phillips et al. (1996) for T>20K      
! NUMBER OF COLLISIONAL TRANSITIONS
10
! NUMBER OF COLLISION TEMPERATURES
11
! COLLISION TEMPERATURES
  5.0    8.0   12.0   16.0   20.0   40.0   60.0   80.0  100.0  120.0  140.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2   1   1.2E-11 1.4E-11 1.5E-11 1.5E-11 1.5E-11 1.5E-11 1.6E-11 1.7E-11 1.9E-11 2.0E-11 2.2E-11
    2    3   1   1.4E-11 1.5E-11 1.6E-11 1.6E-11 1.6E-11 1.5E-11 1.5E-11 1.5E-11 1.5E-11 1.5E-11 1.4E-11
    3    3   2   2.2E-11 1.9E-11 1.7E-11 1.6E-11 1.6E-11 1.0E-11 1.1E-11 1.2E-11 1.3E-11 1.4E-11 1.5E-11
    4    4   1   5.2E-14 1.1E-13 1.8E-13 2.3E-13 2.7E-13 1.9E-13 1.8E-13 1.7E-13 1.7E-13 1.9E-13 2.1E-13 
    5    4   2   4.7E-11 5.0E-11 5.3E-11 5.5E-11 5.6E-11 5.5E-11 5.5E-11 5.5E-11 5.4E-11 5.4E-11 5.3E-11
    6    4   3   1.0E-11 1.1E-11 1.2E-11 1.3E-11 1.3E-11 1.4E-11 1.6E-11 1.9E-11 2.2E-11 2.4E-11 2.7E-11
    7    5   1   1.2E-12 1.3E-12 1.4E-12 1.4E-12 1.5E-12 1.2E-12 1.4E-12 1.5E-12 1.7E-12 1.9E-12 2.1E-12
    8    5   2   1.7E-11 1.7E-11 1.7E-11 1.7E-11 1.7E-11 1.8E-11 1.8E-11 1.9E-11 2.0E-11 2.1E-11 2.2E-11
    9    5   3   4.6E-12 5.1E-12 5.3E-12 5.3E-12 5.3E-12 4.6E-12 4.5E-12 4.3E-12 4.2E-12 4.2E-12 4.2E-12
   10    5   4   1.3E-11 1.4E-11 1.4E-11 1.5E-11 1.5E-11 1.5E-11 1.6E-11 1.7E-11 1.8E-11 2.0E-11 2.1E-11
! COLLISION PARTNER
3 pH2O - oH2 from Grosjean et al. (2003) and Phillips et al. (1996) for T>20K       
! NUMBER OF COLLISIONAL TRANSITIONS
10
! NUMBER OF COLLISION TEMPERATURES
11
! COLLISION TEMPERATURES
  5.0    8.0   12.0   16.0   20.0   40.0   60.0   80.0  100.0  120.0  140.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2   1   8.8E-11 9.4E-11 1.0E-10 1.0E-10 1.1E-10 1.2E-10 1.3E-10 1.4E-10 1.4E-10 1.4E-10 1.5E-10
    2    3   1   2.6E-11 2.6E-11 2.7E-11 2.8E-11 2.8E-11 2.7E-11 2.9E-11 2.9E-11 3.0E-11 3.1E-11 3.1E-11
    3    3   2   1.4E-10 1.5E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.5E-10 1.5E-10 1.4E-10 1.4E-10 1.3E-10
    4    4   1   5.0E-12 5.6E-12 6.3E-12 6.7E-12 7.0E-12 6.7E-12 6.7E-12 6.7E-12 6.8E-12 6.8E-12 6.9E-12 
    5    4   2   6.8E-11 7.5E-11 8.2E-11 8.7E-11 9.2E-11 1.0E-10 1.1E-10 1.1E-10 1.1E-10 1.1E-10 1.1E-10
    6    4   3   1.7E-10 1.8E-10 1.9E-10 2.0E-10 2.1E-10 2.3E-10 2.3E-10 2.4E-10 2.4E-10 2.4E-10 2.5E-10
    7    5   1   7.0E-12 6.8E-12 6.8E-12 6.9E-12 7.1E-12 7.7E-12 8.6E-12 9.2E-12 9.8E-12 1.0E-11 1.1E-11
    8    5   2   4.2E-11 4.2E-11 4.2E-11 4.3E-11 4.4E-11 4.8E-11 5.1E-11 5.4E-11 5.5E-11 5.7E-11 5.8E-11
    9    5   3   3.1E-11 3.0E-11 2.9E-11 2.9E-11 2.9E-11 2.8E-11 2.9E-11 2.9E-11 3.0E-11 3.1E-11 3.1E-11
   10    5   4   1.2E-10 1.3E-10 1.3E-10 1.4E-10 1.4E-10 1.5E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients from JPL
